deadhead_id,service_id,block_id,shape_id,to_trip_id,from_trip_id,to_deadhead_id,from_deadhead_id
55841218,SpgSnd,C10-38,,55840388,,,
55840799,SpgSnd,C10-38,,55840395,55840394,,
55841219,SpgSnd,C10-38,,,55840395,,
55877692,MmlD,C10-38,,55876815,,,
55877693,MmlD,C10-38,,,55876817,,
55877617,MmlD,C10-39,,55876823,,,
55877234,MmlD,C10-39,,55876830,55876829,,
55877618,MmlD,C10-39,,,55876830,,
55837594,SpgStd,C10-42,,55835786,,,
55837476,SpgStd,C10-42,,,55835787,,
55837703,SpgStd,C10-43,,55835791,,,
55837687,SpgStd,C10-43,,,55836578,,
55837502,SpgStd,C10-44,,55835764,,,
55837526,SpgStd,C10-44,,,55835321,,
55837634,SpgStd,C10-45,,55835772,,,
55837636,SpgStd,C10-45,,,55835770,,
55837441,SpgStd,C10-46,,55835773,,,
55837704,SpgStd,C10-46,,,55835491,,
55837629,SpgStd,C10-47,,55835765,,,
55837405,SpgStd,C10-47,,,55836573,,
55837546,SpgStd,C10-48,,55835814,,,
55836650,SpgStd,C10-48,,55835817,55835818,,
55837731,SpgStd,C10-48,,,55835817,,
55802524,SpgWkd,C10-57,pull0214,55800005,,,
55802239,SpgWkd,C10-57,,,55800097,,
55802419,SpgWkd,C10-58,pull0214,55800028,,,
55802441,SpgWkd,C10-58,,,55801977,,
55802567,SpgWkd,C10-59,pull0214,55800009,,,
55802568,SpgWkd,C10-59,pull0201,,55800077,,
55869608,Jnh,C10-59,pull0214,55867034,,,
55869440,Jnh,C10-59,,,55867122,,
55802396,SpgWkd,C10-60,pull0214,55800023,,,
55800319,SpgWkd,C10-60,,55800063,55800763,,
55802734,SpgWkd,C10-60,,,55800063,,
55869606,Jnh,C10-60,,55868854,,,
55869471,Jnh,C10-60,,,55868868,,
55802523,SpgWkd,C10-61,pull0214,55800013,,,
55802283,SpgWkd,C10-61,,,55800086,,
55869839,Jnh,C10-61,pull0214,55867090,,,
55869530,Jnh,C10-61,pull0201,,55867129,,
55802181,SpgWkd,C10-62,pull0214,55800142,,,
55802325,SpgWkd,C10-62,,,55801999,,
55869550,Jnh,C10-62,pull0214,55867066,,,
55869577,Jnh,C10-62,,,55868873,,
55802213,SpgWkd,C10-63,pull0214,55800123,,,
55802209,SpgWkd,C10-63,,,55802000,,
55869547,Jnh,C10-63,pull0214,55867056,,,
55869749,Jnh,C10-63,,,55868847,,
55802439,SpgWkd,C10-64,pull0214,55800213,,,
55802527,SpgWkd,C10-64,,,55802005,,
55869510,Jnh,C10-64,pull0214,55867042,,,
55869566,Jnh,C10-64,,,55867112,,
