"added_route_id","trip_id"
"24","37666719"
"27","37666719"
"24","37666720"
"27","37666720"
"24","37666721"
"27","37666721"
"24","37666722"
"27","37666722"
"24","37666723"
"27","37666723"
"24","37666724"
"27","37666724"
"24","37666725"
"27","37666725"
"24","37666726"
"27","37666726"
"24","37666727"
"27","37666727"
"24","37666728"
"27","37666728"
"24","37666729"
"27","37666729"
"24","37666730"
"27","37666730"
"40","37667909"
"50","37667909"
"40","37667912"
"50","37667912"
"40","37667928"
"50","37667928"
"40","37667938"
"50","37667938"
"37","37625657"
"38","37625657"
"37","37625668"
"38","37625668"
"37","37625679"
"38","37625679"
"37","37625686"
"38","37625686"
"37","37625699"
"38","37625699"
"37","37625708"
"38","37625708"
"24","37625925"
"27","37625925"
"24","37625926"
"27","37625926"
"24","37625927"
"27","37625927"
"24","37625928"
"27","37625928"
"24","37625929"
"27","37625929"
"24","37625930"
"27","37625930"
"24","37625931"
"27","37625931"
"24","37625932"
"27","37625932"
"24","37625933"
"27","37625933"
"24","37625934"
"27","37625934"
"24","37625935"
"27","37625935"
"24","37625936"
"27","37625936"
"24","37625938"
"27","37625938"
"24","37625939"
"27","37625939"
"24","37625940"
"27","37625940"
"24","37625941"
"27","37625941"
"24","37625942"
"27","37625942"
"24","37625943"
"27","37625943"
"24","37625944"
"27","37625944"
"24","37625945"
"27","37625945"
"24","37625946"
"27","37625946"
"24","37625947"
"27","37625947"
"24","37625948"
"27","37625948"
"24","37625949"
"27","37625949"
"24","37625950"
"27","37625950"
"24","37625951"
"27","37625951"
"24","37625952"
"27","37625952"
"24","37625953"
"27","37625953"
"24","37625954"
"27","37625954"
"24","37625955"
"27","37625955"
"24","37625956"
"27","37625956"
"24","37625957"
"27","37625957"
"24","37625958"
"27","37625958"
"24","37625959"
"27","37625959"
"24","37625960"
"27","37625960"
"24","37625961"
"27","37625961"
"24","37625962"
"27","37625962"
"24","37625963"
"27","37625963"
"24","37625964"
"27","37625964"
"24","37625965"
"27","37625965"
"40","37626105"
"50","37626105"
"40","37626106"
"50","37626106"
"40","37626107"
"50","37626107"
"40","37626108"
"50","37626108"
"40","37626109"
"50","37626109"
"40","37626110"
"50","37626110"
"40","37626111"
"50","37626111"
"40","37626112"
"50","37626112"
"24","37626213"
"27","37626213"
"24","37626214"
"27","37626214"
"24","37626215"
"27","37626215"
"24","37626216"
"27","37626216"
"24","37626217"
"27","37626217"
"24","37626218"
"27","37626218"
"24","37626219"
"27","37626219"
"24","37626220"
"27","37626220"
"24","37626221"
"27","37626221"
"24","37626222"
"27","37626222"
"24","37626223"
"27","37626223"
"24","37626224"
"27","37626224"
"24","37626225"
"27","37626225"
"32","37626657"
"33","37626657"
"32","37626806"
"33","37626806"
"24","37621419"
"27","37621419"
"24","37621458"
"27","37621458"
"40","37621592"
"50","37621592"
"40","37621593"
"50","37621593"
"40","37621594"
"50","37621594"
"40","37621595"
"50","37621595"
"40","37621596"
"50","37621596"
"40","37621597"
"50","37621597"
"40","37621598"
"50","37621598"
"40","37621599"
"50","37621599"
"40","37621600"
"50","37621600"
"40","37621601"
"50","37621601"
"40","37621602"
"50","37621602"
"40","37621603"
"50","37621603"
"40","37621604"
"50","37621604"
"40","37621605"
"50","37621605"
"40","37621606"
"50","37621606"
"40","37621607"
"50","37621607"
"24","37621608"
"27","37621608"
"24","37621730"
"27","37621730"
"24","37621731"
"27","37621731"
"24","37621732"
"27","37621732"
"24","37621733"
"27","37621733"
"24","37621734"
"27","37621734"
"24","37621735"
"27","37621735"
"24","37621736"
"27","37621736"
"24","37621737"
"27","37621737"
"24","37621738"
"27","37621738"
"24","37621739"
"27","37621739"
"24","37621740"
"27","37621740"
"24","37621741"
"27","37621741"
"24","37621742"
"27","37621742"
"24","37621743"
"27","37621743"
"24","37621744"
"27","37621744"
"24","37621745"
"27","37621745"
"24","37621746"
"27","37621746"
"24","37621747"
"27","37621747"
"24","37621748"
"27","37621748"
"24","37621749"
"27","37621749"
"24","37621750"
"27","37621750"
"89","37485635"
"93","37485635"
"89","37442324"
"93","37442324"
"89","37445704"
"93","37445704"
"89","37445705"
"93","37445705"
"441","37647944"
"442","37647944"
"441","37647972"
"442","37647972"
"441","37647973"
"442","37647973"
"441","37647974"
"442","37647974"
"441","37647975"
"442","37647975"
"441","37647976"
"442","37647976"
"441","37647977"
"442","37647977"
"441","37647978"
"442","37647978"
"441","37647979"
"442","37647979"
"441","37647980"
"442","37647980"
"441","37647982"
"442","37647982"
"441","37647983"
"442","37647983"
"441","37647998"
"442","37647998"
"441","37648000"
"442","37648000"
"441","37648050"
"442","37648050"
"116","37648071"
"117","37648071"
"116","37648072"
"117","37648072"
"116","37648073"
"117","37648073"
"116","37648074"
"117","37648074"
"116","37648075"
"117","37648075"
"116","37648076"
"117","37648076"
"116","37648077"
"117","37648077"
"116","37648078"
"117","37648078"
"116","37648079"
"117","37648079"
"116","37648080"
"117","37648080"
"116","37648081"
"117","37648081"
"116","37648082"
"117","37648082"
"116","37648095"
"117","37648095"
"116","37648098"
"117","37648098"
"116","37648100"
"117","37648100"
"116","37648102"
"117","37648102"
"116","37648105"
"117","37648105"
"116","37648106"
"117","37648106"
"116","37648109"
"117","37648109"
"116","37648111"
"117","37648111"
"116","37648113"
"117","37648113"
"214","37617100"
"216","37617100"
"214","37617101"
"216","37617101"
"214","37617102"
"216","37617102"
"214","37617103"
"216","37617103"
"214","37617139"
"216","37617139"
"214","37617140"
"216","37617140"
"214","37617141"
"216","37617141"
"214","37617142"
"216","37617142"
"214","37617143"
"216","37617143"
"214","37617144"
"216","37617144"
"214","37617145"
"216","37617145"
"214","37617146"
"216","37617146"
"214","37617147"
"216","37617147"
"214","37617148"
"216","37617148"
"214","37617149"
"216","37617149"
"214","37617150"
"216","37617150"
"214","37617151"
"216","37617151"
"214","37617221"
"216","37617221"
"214","37617222"
"216","37617222"
"214","37617223"
"216","37617223"
"214","37617224"
"216","37617224"
"214","37617225"
"216","37617225"
"214","37617226"
"216","37617226"
"214","37617227"
"216","37617227"
"214","37617228"
"216","37617228"
"214","37617229"
"216","37617229"
"214","37378549"
"216","37378549"
"214","37378560"
"216","37378560"
"214","37378565"
"216","37378565"
"214","37378567"
"216","37378567"
"214","37378568"
"216","37378568"
"214","37378594"
"216","37378594"
"214","37378595"
"216","37378595"
"214","37378596"
"216","37378596"
"214","37378597"
"216","37378597"
"214","37378600"
"216","37378600"
"214","37378603"
"216","37378603"
"214","37378604"
"216","37378604"
"214","37378605"
"216","37378605"
"214","37378606"
"216","37378606"
"214","37378607"
"216","37378607"
"214","37378608"
"216","37378608"
"214","37378609"
"216","37378609"
"214","37378674"
"216","37378674"
"214","37378675"
"216","37378675"
"214","37378685"
"216","37378685"
"214","37378686"
"216","37378686"
"214","37378707"
"216","37378707"
"214","37378708"
"216","37378708"
"214","37378713"
"216","37378713"
"214","37378714"
"216","37378714"
"214","37378751"
"216","37378751"
"214","37378752"
"216","37378752"
"214","37378828"
"216","37378828"
"214","37378830"
"216","37378830"
"214","37378832"
"216","37378832"
"214","37378835"
"216","37378835"
"214","37378836"
"216","37378836"
"214","37378838"
"216","37378838"
"214","37378841"
"216","37378841"
"214","37378842"
"216","37378842"
"214","37378844"
"216","37378844"
"214","37378845"
"216","37378845"
"214","37378850"
"216","37378850"
"214","37378852"
"216","37378852"
"214","37378854"
"216","37378854"
"214","37378856"
"216","37378856"
"214","37378858"
"216","37378858"
"214","37378860"
"216","37378860"
"214","37378862"
"216","37378862"
"214","37378864"
"216","37378864"
"214","37378866"
"216","37378866"
"214","37378868"
"216","37378868"
"214","37378870"
"216","37378870"
"214","37378872"
"216","37378872"
"214","37378874"
"216","37378874"
"214","37378876"
"216","37378876"
"214","37378878"
"216","37378878"
"214","37378880"
"216","37378880"
"214","37378882"
"216","37378882"
"214","37378884"
"216","37378884"
"214","37378887"
"216","37378887"
"214","37378889"
"216","37378889"
"214","37378891"
"216","37378891"
"214","37378940"
"216","37378940"
"214","37378941"
"216","37378941"
"214","37378944"
"216","37378944"
"214","37378945"
"216","37378945"
"214","37378948"
"216","37378948"
"214","37378949"
"216","37378949"
"214","37378952"
"216","37378952"
"214","37378953"
"216","37378953"
"214","37378954"
"216","37378954"
"214","37378955"
"216","37378955"
"214","37378960"
"216","37378960"
"214","37378963"
"216","37378963"
"214","37379306"
"216","37379306"
"214","37379308"
"216","37379308"
"214","37379310"
"216","37379310"
"214","37379311"
"216","37379311"
"214","37379348"
"216","37379348"
"214","37379349"
"216","37379349"
"214","37379351"
"216","37379351"
"214","37379353"
"216","37379353"
"214","37379354"
"216","37379354"
"214","37379355"
"216","37379355"
"214","37379362"
"216","37379362"
"214","37379371"
"216","37379371"
"214","37379382"
"216","37379382"
"214","37379383"
"216","37379383"
"214","37379384"
"216","37379384"
"214","37379387"
"216","37379387"
"214","37379388"
"216","37379388"
"214","37379391"
"216","37379391"
"214","37379393"
"216","37379393"
"214","37379395"
"216","37379395"
"214","37379403"
"216","37379403"
"214","37379413"
"216","37379413"
"214","37379418"
"216","37379418"
"214","37379462"
"216","37379462"
"214","37379463"
"216","37379463"
"214","37379464"
"216","37379464"
"214","37379465"
"216","37379465"
"214","37379466"
"216","37379466"
"214","37379467"
"216","37379467"
"214","37379470"
"216","37379470"
"214","37379471"
"216","37379471"
"214","37379472"
"216","37379472"
"214","37379474"
"216","37379474"
"214","37379475"
"216","37379475"
"214","37379476"
"216","37379476"
"214","37379477"
"216","37379477"
"214","37379479"
"216","37379479"
"214","37379480"
"216","37379480"
"214","37379481"
"216","37379481"
"214","37379482"
"216","37379482"
"214","37379483"
"216","37379483"
"214","37379484"
"216","37379484"
"214","37379485"
"216","37379485"
"214","37379529"
"216","37379529"
"214","37379584"
"216","37379584"
"214","37379585"
"216","37379585"
"214","37379607"
"216","37379607"
"214","37379609"
"216","37379609"
"741","37401437"
"742","37401437"
"741","37401438"
"742","37401438"
"741","37401439"
"742","37401439"
"741","37401462"
"742","37401462"
"741","37401463"
"742","37401463"
"741","37401464"
"742","37401464"
"741","37401465"
"742","37401465"
"741","37401466"
"742","37401466"
"741","37401467"
"742","37401467"
"741","37401474"
"742","37401474"
"741","37401518"
"742","37401518"
"741","37401542"
"742","37401542"
"741","37401589"
"742","37401589"
"741","37401606"
"742","37401606"
"741","37401635"
"742","37401635"
"741","37401667"
"742","37401667"
"741","37401672"
"742","37401672"
"741","37401673"
"742","37401673"
"741","37401674"
"742","37401674"
"741","37401675"
"742","37401675"
"741","37401676"
"742","37401676"
"741","37401677"
"742","37401677"
"741","37401678"
"742","37401678"
"741","37401679"
"742","37401679"
"741","37401680"
"742","37401680"
"741","37401681"
"742","37401681"
"741","37401682"
"742","37401682"
"741","37401683"
"742","37401683"
"741","37401684"
"742","37401684"
"741","37401685"
"742","37401685"
"741","37401686"
"742","37401686"
"741","37401687"
"742","37401687"
"741","37401688"
"742","37401688"
"741","37401689"
"742","37401689"
"741","37401690"
"742","37401690"
"741","37401691"
"742","37401691"
"741","37401692"
"742","37401692"
"741","37401693"
"742","37401693"
"741","37401694"
"742","37401694"
"741","37401695"
"742","37401695"
"741","37401696"
"742","37401696"
"741","37401697"
"742","37401697"
"741","37401698"
"742","37401698"
"741","37401699"
"742","37401699"
"741","37401700"
"742","37401700"
"741","37401701"
"742","37401701"
"741","37401702"
"742","37401702"
"741","37401703"
"742","37401703"
"741","37401704"
"742","37401704"
"741","37401705"
"742","37401705"
"741","37401706"
"742","37401706"
"741","37401707"
"742","37401707"
"741","37401708"
"742","37401708"
"741","37401709"
"742","37401709"
"741","37401710"
"742","37401710"
"741","37401711"
"742","37401711"
"741","37401712"
"742","37401712"
"741","37401713"
"742","37401713"
"741","37401714"
"742","37401714"
"741","37401715"
"742","37401715"
"741","37401716"
"742","37401716"
"741","37401717"
"742","37401717"
"741","37401718"
"742","37401718"
"741","37401719"
"742","37401719"
"741","37401720"
"742","37401720"
"741","37401721"
"742","37401721"
"741","37401722"
"742","37401722"
"741","37401723"
"742","37401723"
"741","37401724"
"742","37401724"
"741","37401725"
"742","37401725"
"741","37401726"
"742","37401726"
"741","37401727"
"742","37401727"
"741","37401728"
"742","37401728"
"741","37401729"
"742","37401729"
"741","37401730"
"742","37401730"
"741","37401731"
"742","37401731"
"741","37401732"
"742","37401732"
"741","37401733"
"742","37401733"
"741","37401734"
"742","37401734"
"741","37401735"
"742","37401735"
"741","37401736"
"742","37401736"
"741","37401737"
"742","37401737"
"741","37401745"
"742","37401745"
"741","37401962"
"742","37401962"
"741","37401963"
"742","37401963"
"741","37401964"
"742","37401964"
"741","37402390"
"742","37402390"
"741","37402684"
"742","37402684"
"741","37402685"
"742","37402685"
"741","37403024"
"742","37403024"
"741","37403025"
"742","37403025"
"741","37403026"
"742","37403026"
"741","37403027"
"742","37403027"
"741","37403028"
"742","37403028"
"741","37403029"
"742","37403029"
"741","37403030"
"742","37403030"
"741","37403031"
"742","37403031"
"741","37403032"
"742","37403032"
"741","37403033"
"742","37403033"
"741","37403045"
"742","37403045"
"741","37403046"
"742","37403046"
"741","37403111"
"742","37403111"
"741","37403135"
"742","37403135"
"741","37403136"
"742","37403136"
"741","37403149"
"742","37403149"
"741","37403150"
"742","37403150"
"741","37403152"
"742","37403152"
"741","37403156"
"742","37403156"
"741","37403175"
"742","37403175"
"741","37403176"
"742","37403176"
"741","37403197"
"742","37403197"
"741","37403216"
"742","37403216"
"741","37403217"
"742","37403217"
"741","37403232"
"742","37403232"
"741","37403233"
"742","37403233"
"741","37403250"
"742","37403250"
"741","37403252"
"742","37403252"
"741","37403262"
"742","37403262"
"741","37403263"
"742","37403263"
"741","37403276"
"742","37403276"
"741","37403278"
"742","37403278"
"741","37403292"
"742","37403292"
"741","37403293"
"742","37403293"
"741","37403306"
"742","37403306"
"741","37403307"
"742","37403307"
"741","37403524"
"742","37403524"
"741","37403987"
"742","37403987"
"741","37403988"
"742","37403988"
"741","37404304"
"742","37404304"
