deadhead_id,arrival_time,departure_time,stop_id,location_sequence,shape_dist_traveled,ops_location_id
55803661,18:27:00,18:27:00,,2,,47800
55803662,13:25:00,13:25:00,,1,,47800
55803662,13:40:00,13:40:00,407,2,,
55803663,09:27:00,09:27:00,899,1,,
55803663,09:43:00,09:43:00,,2,,47800
55803664,17:21:00,17:21:00,113,1,,
55803664,17:36:00,17:36:00,,2,,47800
55803665,21:32:00,21:32:00,899,1,,
55803665,21:48:00,21:48:00,,2,,47800
55803666,14:35:00,14:35:00,,1,,47800
55803666,14:50:00,14:50:00,899,2,,
55803667,12:45:00,12:45:00,,1,,47800
55803667,13:00:00,13:00:00,899,2,,
55803668,15:20:00,15:20:00,6551,1,,
55803668,15:33:00,15:33:00,,2,,47800
55803669,09:19:00,09:19:00,899,1,,
55803669,09:35:00,09:35:00,,2,,47800
55803670,15:30:00,15:30:00,,1,,47800
55803670,15:50:00,15:50:00,323,2,,
55803671,06:39:00,06:39:00,,1,,47800
55803671,06:50:00,06:50:00,210,2,,
55803672,16:46:00,16:46:00,113,1,,
55803672,17:01:00,17:01:00,,2,,47800
55803673,14:35:00,14:35:00,,1,,47800
55803673,14:50:00,14:50:00,899,2,,
55803674,09:02:00,09:02:00,210,1,,
55803674,09:12:00,09:12:00,,2,,47800
55803675,13:25:00,13:25:00,,1,,47800
55803675,13:40:00,13:40:00,1346,2,,
55803676,10:19:00,10:19:00,903,1,,
55803676,10:38:00,10:38:00,,2,,47800
55803677,08:46:00,08:46:00,899,1,,
55803677,09:02:00,09:02:00,,2,,47800
55803678,05:44:00,05:44:00,,1,,47800
55803678,06:15:00,06:15:00,7724,2,,
55803679,16:51:00,16:51:00,900,1,,
55803679,17:14:00,17:14:00,,2,,47800
55803680,16:08:00,16:08:00,,1,,47800
55803680,16:24:00,16:24:00,899,2,,
55803681,13:12:00,13:12:00,178,1,,
55803681,13:21:00,13:21:00,,2,,47800
55803682,10:05:00,10:05:00,,1,,47800
55803682,10:20:00,10:20:00,6551,2,,
55803683,13:40:00,13:40:00,6551,1,,
55803683,13:53:00,13:53:00,,2,,47800
55803684,05:17:00,05:17:00,,1,,47800
55803684,05:30:00,05:30:00,899,2,,
55803685,17:44:00,17:44:00,13,1,,
55803685,17:53:00,17:53:00,,2,,47800
55803686,06:16:00,06:16:00,,1,,47800
55803686,06:32:00,06:32:00,900,2,,
55803687,05:45:00,05:45:00,,1,,47800
55803687,06:00:00,06:00:00,903,2,,
55803688,05:17:00,05:17:00,,1,,47800
55803688,05:50:00,05:50:00,88333,2,,
55803689,20:39:00,20:39:00,899,1,,
55803689,20:55:00,20:55:00,,2,,47800
55803690,05:44:00,05:44:00,,1,,47800
55803690,06:20:00,06:20:00,91852,2,,
55803691,06:01:00,06:01:00,,1,,47800
55803691,06:25:00,06:25:00,38155,2,,
55803692,19:30:00,19:30:00,33,1,,
55803692,19:40:00,19:40:00,,2,,47800
55803693,21:10:00,21:10:00,903,1,,
55803693,21:29:00,21:29:00,,2,,47800
55803694,19:56:00,19:56:00,17861,1,,
55803694,20:09:00,20:09:00,,2,,47800
55803695,05:47:00,05:47:00,,1,,47800
55803695,06:08:00,06:08:00,1026,2,,
55803696,06:15:00,06:15:00,,1,,47800
55803696,06:25:00,06:25:00,17863,2,,
55803697,06:19:00,06:19:00,,1,,47800
55803697,06:40:00,06:40:00,994,2,,
55803698,09:48:00,09:48:00,,1,,47800
55803698,10:05:00,10:05:00,8178,2,,
55803699,20:22:00,20:22:00,8178,1,,
55803699,20:45:00,20:45:00,,2,,47800
55803700,20:00:00,20:00:00,900,1,,
55803700,20:21:00,20:21:00,,2,,47800
