pathway_id,from_stop_id,to_stop_id,facility_id,pathway_mode,is_bidirectional,length,wheelchair_length,traversal_time,wheelchair_traversal_time,stair_count,max_slope,pathway_name,pathway_code,signposted_as,instructions
fldcr-005,70090,323,,1,0,,,99,162,,,Red Line (Alewife) to Busway,,Busway,
fldcr-006,70090,70089,,1,0,,,84,172,,,Red Line (Alewife) to Red Line (Ashmont),,Red Line - Ashmont,
fldcr-007,70089,323,,1,0,,,110,173,,,Red Line (Ashmont) to Busway,,Busway,
fldcr-008,70090,door-fldcr-busway,,1,0,29.5656000,29.5656000,,,,,"Red Line (Alewife) to Fields Corner - Busway, Street",,"Fields Corner - Busway, Street",
fldcr-009,70089,door-fldcr-busway,,1,0,,,53,103,,,"Red Line (Ashmont) to Fields Corner - Busway, Street",,"Fields Corner - Busway, Street",
fldcr-010,323,door-fldcr-charles,,1,0,226.4664000,226.4664000,,,,0.0830000,Busway to Fields Corner - Charles St,,Fields Corner - Charles St,
fldcr-011,70090,door-fldcr-charles,,1,0,,,74,114,,,Red Line (Alewife) to Fields Corner - Charles St,,Fields Corner - Charles St,
fldcr-012,70089,door-fldcr-charles,,1,0,,,90,116,,,Red Line (Ashmont) to Fields Corner - Charles St,,Fields Corner - Charles St,
fldcr-013,323,70090,,1,0,,,115,172,,,Busway to Red Line (Alewife),,Red Line - Alewife,
fldcr-014,70089,70090,,1,0,,,84,172,,,Red Line (Ashmont) to Red Line (Alewife),,Red Line - Alewife,
fldcr-015,323,70089,,1,0,,,125,183,,,Busway to Red Line (Ashmont),,Red Line - Ashmont,
forhl-000,Forest Hills,70001,,1,0,,,162,276,,,Commuter Rail to Orange Line,,Inbound,
forhl-001,Forest Hills,875,,1,0,,,175,305,,,Commuter Rail to Lower Busway,,Lower Busway,
forhl-002,Forest Hills,10642,,1,0,,,178,270,,,Commuter Rail to Upper Busway,,Upper Busway,
forhl-003,70001,Forest Hills,,1,0,,,169,287,,,Orange Line to Commuter Rail,,"Commuter Rail - Inbound, Outbound",
