"route_id","agency_id","route_short_name","route_long_name","route_desc","route_type","route_url","route_color","route_text_color"
"155-1054","1","15",,,3,,"FFFF7C","000000"
"156-1054","1","15",,,3,,"FFFF7C","000000"
"16_-1054","1","16",,,3,,"FFFF7C","000000"
"162-1054","1","16",,,3,,"FFFF7C","000000"
"163-1054","1","16",,,3,,"FFFF7C","000000"
"166-1054","1","16",,,3,,"FFFF7C","000000"
"168-1054","1","16",,,3,,"FFFF7C","000000"
"169-1054","1","16",,,3,,"FFFF7C","000000"
"17_-1054","1","17",,,3,,"FFFF7C","000000"
"170_-1054","1","170",,,3,,"FFFF7C","000000"
"1703-1054","1","170",,,3,,"FFFF7C","000000"
"171_-1054","1","171",,,3,,"FFFF7C","000000"
"18_-1054","1","18",,,3,,"FFFF7C","000000"
"19_-1054","1","19",,,3,,"FFFF7C","000000"
"191_-1054","1","191",,,3,,"FFFF7C","000000"
"191-1054","1","19",,,3,,"FFFF7C","000000"
"192_-1054","1","192",,,3,,"FFFF7C","000000"
"192-1054","1","19",,,3,,"FFFF7C","000000"
"193_-1054","1","193",,,3,,"FFFF7C","000000"
"193-1054","1","19",,,3,,"FFFF7C","000000"
"194_-1054","1","194",,,3,,"FFFF7C","000000"
"194-1054","1","19",,,3,,"FFFF7C","000000"
"195-1054","1","19",,,3,,"FFFF7C","000000"
"201_-1054","1","201",,,3,,"FFFF7C","000000"
"2013-1054","1","201",,,3,,"FFFF7C","000000"
"2017-1054","1","201",,,3,,"FFFF7C","000000"
"2018-1054","1","201",,,3,,"FFFF7C","000000"
"2019-1054","1","201",,,3,,"FFFF7C","000000"
"2023-1054","1","202",,,3,,"FFFF7C","000000"
"2024-1054","1","202",,,3,,"FFFF7C","000000"
"2025-1054","1","202",,,3,,"FFFF7C","000000"
"2026-1054","1","202",,,3,,"FFFF7C","000000"
"2027-1054","1","202",,,3,,"FFFF7C","000000"
"2028-1054","1","202",,,3,,"FFFF7C","000000"
"21_-1054","1","21",,,3,,"FFFF7C","000000"
"210_-1054","1","210",,,3,,"FFFF7C","000000"
"2101-1054","1","210",,,3,,"FFFF7C","000000"
"2103-1054","1","210",,,3,,"FFFF7C","000000"
"211_-1054","1","211",,,3,,"FFFF7C","000000"
"2111-1054","1","211",,,3,,"FFFF7C","000000"
"2112-1054","1","211",,,3,,"FFFF7C","000000"
"2113-1054","1","211",,,3,,"FFFF7C","000000"
"2117-1054","1","211",,,3,,"FFFF7C","000000"
"2118-1054","1","211",,,3,,"FFFF7C","000000"
"2119-1054","1","211",,,3,,"FFFF7C","000000"
"2122-1054","1","212",,,3,,"FFFF7C","000000"
"2125-1054","1","212",,,3,,"FFFF7C","000000"
"214_-1054","1","214",,,3,,"FFFF7C","000000"
"2141-1054","1","214",,,3,,"FFFF7C","000000"
"2142-1054","1","214",,,3,,"FFFF7C","000000"
"2143-1054","1","214",,,3,,"FFFF7C","000000"
"2144-1054","1","214",,,3,,"FFFF7C","000000"
"215_-1054","1","215",,,3,,"FFFF7C","000000"
"2151-1054","1","215",,,3,,"FFFF7C","000000"
"2152-1054","1","215",,,3,,"FFFF7C","000000"
"2153-1054","1","215",,,3,,"FFFF7C","000000"
"2154-1054","1","215",,,3,,"FFFF7C","000000"
"2157-1054","1","215",,,3,,"FFFF7C","000000"
"216_-1054","1","216",,,3,,"FFFF7C","000000"
"2161-1054","1","216",,,3,,"FFFF7C","000000"
"2162-1054","1","216",,,3,,"FFFF7C","000000"
"2163-1054","1","216",,,3,,"FFFF7C","000000"
"2164-1054","1","216",,,3,,"FFFF7C","000000"
"2176-1054","1","217",,,3,,"FFFF7C","000000"
"2177-1054","1","217",,,3,,"FFFF7C","000000"
"2178-1054","1","217",,,3,,"FFFF7C","000000"
"2179-1054","1","217",,,3,,"FFFF7C","000000"
"22_-1054","1","22",,,3,,"FFFF7C","000000"
"2203-1054","1","220",,,3,,"FFFF7C","000000"
"2204-1054","1","220",,,3,,"FFFF7C","000000"
"2205-1054","1","220",,,3,,"FFFF7C","000000"
"2209-1054","1","220",,,3,,"FFFF7C","000000"
"221_-1054","1","221",,,3,,"FFFF7C","000000"
"221-1054","1","22",,,3,,"FFFF7C","000000"
"222_-1054","1","222",,,3,,"FFFF7C","000000"
"222-1054","1","22",,,3,,"FFFF7C","000000"
"2221-1054","1","222",,,3,,"FFFF7C","000000"
"2229-1054","1","222",,,3,,"FFFF7C","000000"
"223-1054","1","22",,,3,,"FFFF7C","000000"
"225_-1054","1","225",,,3,,"FFFF7C","000000"
"2251-1054","1","225",,,3,,"FFFF7C","000000"
"2252-1054","1","225",,,3,,"FFFF7C","000000"
"2253-1054","1","225",,,3,,"FFFF7C","000000"
"2254-1054","1","225",,,3,,"FFFF7C","000000"
"2255-1054","1","225",,,3,,"FFFF7C","000000"
"23_-1054","1","23",,,3,,"FFFF7C","000000"
"2303-1054","1","230",,,3,,"FFFF7C","000000"
"2305-1054","1","230",,,3,,"FFFF7C","000000"
"231-1054","1","23",,,3,,"FFFF7C","000000"
"232-1054","1","23",,,3,,"FFFF7C","000000"
"233-1054","1","23",,,3,,"FFFF7C","000000"
"234-1054","1","23",,,3,,"FFFF7C","000000"
"236-1054","1","23",,,3,,"FFFF7C","000000"
"2362-1054","1","236",,,3,,"FFFF7C","000000"
"2363-1054","1","236",,,3,,"FFFF7C","000000"
"238_-1054","1","238",,,3,,"FFFF7C","000000"
"2381-1054","1","238",,,3,,"FFFF7C","000000"
"2383-1054","1","238",,,3,,"FFFF7C","000000"
"2385-1054","1","238",,,3,,"FFFF7C","000000"
"2387-1054","1","238",,,3,,"FFFF7C","000000"
"2388-1054","1","238",,,3,,"FFFF7C","000000"
"2389-1054","1","238",,,3,,"FFFF7C","000000"
"24_-1054","1","24",,,3,,"FFFF7C","000000"
"240_-1054","1","240",,,3,,"FFFF7C","000000"
"2401-1054","1","240",,,3,,"FFFF7C","000000"
"2402-1054","1","240",,,3,,"FFFF7C","000000"
"2403-1054","1","240",,,3,,"FFFF7C","000000"
"2404-1054","1","240",,,3,,"FFFF7C","000000"
"2407-1054","1","240",,,3,,"FFFF7C","000000"
"2408-1054","1","240",,,3,,"FFFF7C","000000"
"2409-1054","1","240",,,3,,"FFFF7C","000000"
"240G-1054","1","240",,,3,,"FFFF7C","000000"
"241-1054","1","24",,,3,,"FFFF7C","000000"
"242-1054","1","24",,,3,,"FFFF7C","000000"
"243-1054","1","24",,,3,,"FFFF7C","000000"
"244-1054","1","24",,,3,,"FFFF7C","000000"
"245_-1054","1","245",,,3,,"FFFF7C","000000"
"245-1054","1","24",,,3,,"FFFF7C","000000"
"2451-1054","1","245",,,3,,"FFFF7C","000000"
"2452-1054","1","245",,,3,,"FFFF7C","000000"
"2453-1054","1","245",,,3,,"FFFF7C","000000"
"2455-1054","1","245",,,3,,"FFFF7C","000000"
"2457-1054","1","245",,,3,,"FFFF7C","000000"
"2459-1054","1","245",,,3,,"FFFF7C","000000"
"25_-1054","1","25",,,3,,"FFFF7C","000000"
"261-1054","1","26",,,3,,"FFFF7C","000000"
"262-1054","1","26",,,3,,"FFFF7C","000000"
"27_-1054","1","27",,,3,,"FFFF7C","000000"
"274_-1054","1","274",,,3,,"FFFF7C","000000"
"2751-1054","1","275",,,3,,"FFFF7C","000000"
"2752-1054","1","275",,,3,,"FFFF7C","000000"
"2753-1054","1","275",,,3,,"FFFF7C","000000"
"2755-1054","1","275",,,3,,"FFFF7C","000000"
"2758-1054","1","275",,,3,,"FFFF7C","000000"
"276_-1054","1","276",,,3,,"FFFF7C","000000"
"2765-1054","1","276",,,3,,"FFFF7C","000000"
"2766-1054","1","276",,,3,,"FFFF7C","000000"
