elev_id,stop_id
435,place-armnl
436,70157
436,place-armnl
437,334
437,397
437,535
437,70093
437,70094
437,place-asmnl
438,334
438,397
438,535
438,70093
438,70094
438,70261
438,70262
438,place-asmnl
439,70155
439,place-coecl
440,5879
440,5880
440,70051
440,70052
440,place-orhte
441,5879
441,5880
441,70051
441,70052
441,place-orhte
442,place-astao
442,70278
442,70279
443,place-astao
443,70278
443,70279
444,place-gover
444,70201
444,70202
444,70039
444,70040
445,place-gover
445,70201
445,70202
445,70039
445,70040
446,place-gover
446,70039
446,70040
501,65
501,70022
501,70023
501,70041
501,70042
501,place-state
502,70022
502,70023
502,70041
502,70042
502,place-state
503,70239
503,70240
503,place-prmnl
504,70065
504,70066
504,place-portr
504,Porter Square
505,70065
505,70066
505,place-portr
505,Porter Square
506,70065
506,70066
506,place-portr
507,70065
507,70066
507,place-portr
509,70065
509,70066
509,place-portr
509,Porter Square
510,70065
510,70066
510,place-portr
510,Porter Square
511,70065
511,70066
511,place-portr
511,Porter Square
512,2076
512,20761
512,70067
512,70068
512,place-harsq
513,2076
513,20761
513,70067
513,70068
513,place-harsq
514,2076
514,20761
514,70067
514,70068
514,place-harsq
515,2076
515,20761
515,70067
515,70068
515,place-harsq
516,2076
516,20761
516,70067
516,70068
516,place-harsq
523,70022
523,place-state
701,15795
701,70060
701,place-wondl
702,15795
702,70060
702,place-wondl
703,15795
703,70060
703,place-wondl
708,15795
708,70060
708,place-wondl
709,15795
709,70060
709,place-wondl
710,15795
710,70060
710,place-wondl
711,15795
711,70060
711,place-wondl
712,5879
712,5880
712,70051
712,70052
712,place-orhte
713,5879
713,5880
713,70051
713,70052
713,place-orhte
714,5879
714,5880
714,70051
714,70052
714,place-orhte
715,5879
715,5880
715,70051
715,70052
715,place-orhte
716,place-astao
716,70278
716,70279
717,place-astao
717,70278
717,70279
718,place-astao
718,70278
718,70279
719,place-astao
719,70278
719,70279
720,place-gover
720,70039
720,70040
720,70201
720,70202
721,place-gover
721,70039
721,70040
721,70201
721,70202
722,place-gover
722,70039
722,70040
723,place-gover
723,70039
723,70040
800,70036
800,place-ogmnl
801,70036
801,place-ogmnl
802,70022
802,70023
802,70042
802,place-state
803,70022
803,place-state
804,70075
804,70076
804,70196
804,70197
804,70198
804,70199
804,70200
804,place-pktrm
805,70103
805,70104
805,place-qamnl
806,70103
806,70104
806,place-qamnl
807,70103
807,70104
807,place-qamnl
808,70075
808,70076
808,place-pktrm
810,70101
810,70102
810,place-qnctr
811,70105
811,place-brntn
812,70196
812,70197
812,70198
812,70199
812,70200
812,place-pktrm
813,70061
813,place-alfcl
814,70061
814,place-alfcl
815,70061
815,place-alfcl
816,70063
816,70064
816,place-davis
817,70063
817,70064
817,place-davis
821,2076
821,20761
821,70067
821,70068
821,place-harsq
823,70196
823,70197
823,70198
823,70199
823,70200
823,place-pktrm
830,70095
830,70096
830,place-jfk
831,70085
831,70086
831,place-jfk
840,70030
840,place-sull
841,Forest Hills
841,place-forhl
842,10642
842,70001
842,place-forhl
843,875
843,8750
843,10642
843,70001
843,Forest Hills
843,place-forhl
844,70002
844,70003
844,place-grnst
845,70004
845,70005
845,place-sbmnl
846,70006
846,70007
846,place-jaksn
847,70008
847,70009
847,place-rcmnl
848,70010
848,70011
848,place-rugg
849,place-rugg
849,Ruggles
850,70010
850,70011
850,place-rugg
851,17861
851,70010
851,70011
851,place-rugg
852,70012
852,70013
852,place-masta
853,70014
853,70015
853,place-bbsta
854,Back Bay
854,place-bbsta
855,Back Bay
855,place-bbsta
856,Back Bay
856,place-bbsta
857,70016
857,70017
857,place-tumnl
858,70017
858,place-tumnl
859,70016
859,place-tumnl
860,70070
860,place-cntsq
861,70069
861,place-cntsq
863,70071
863,place-knncl
864,70033
864,place-welln
865,70032
865,place-welln
866,70072
866,place-knncl
867,70081
867,70082
867,place-brdwy
868,70081
868,70082
868,place-brdwy
869,70078
869,place-dwnxg
870,70077
870,place-dwnxg
871,70101
871,70102
871,place-qnctr
872,13
872,70083
872,70084
872,place-andrw
876,70019
876,place-chncl
879,13
879,70083
